date,pageviews
Mon 15 Oct 2018 15:45:00 GMT,30173
Mon 15 Oct 2018 16:00:00 GMT,35010
Mon 15 Oct 2018 16:15:00 GMT,35193
Mon 15 Oct 2018 16:30:00 GMT,35853
Mon 15 Oct 2018 16:45:00 GMT,36119
Mon 15 Oct 2018 17:00:00 GMT,35853
Mon 15 Oct 2018 17:15:00 GMT,40820
Mon 15 Oct 2018 17:30:00 GMT,44837
Mon 15 Oct 2018 17:45:00 GMT,40369
Mon 15 Oct 2018 18:00:00 GMT,40263
Mon 15 Oct 2018 18:15:00 GMT,38042
Mon 15 Oct 2018 18:30:00 GMT,43002
Mon 15 Oct 2018 18:45:00 GMT,43262
Mon 15 Oct 2018 19:00:00 GMT,37001
Mon 15 Oct 2018 19:15:00 GMT,30131
Mon 15 Oct 2018 19:30:00 GMT,48397
Mon 15 Oct 2018 19:45:00 GMT,51719
Mon 15 Oct 2018 20:00:00 GMT,62327
Mon 15 Oct 2018 20:15:00 GMT,40208
Mon 15 Oct 2018 20:45:00 GMT,41686
Mon 15 Oct 2018 21:00:00 GMT,28150
